date,iv_30d_atm,iv_3m_atm
2007-03-09,12.2673,12.7839
2007-03-12,11.7189,12.5446
2007-03-13,15.1036,14.8555
2007-03-14,14.2923,14.4674
2007-03-15,12.9322,14.1273
2007-03-16,13.9081,14.6129
2007-03-19,12.5323,13.5088
2007-03-20,11.2345,12.7871
2007-03-21,10.1087,11.4676
2007-03-22,10.742,11.8504
2007-03-23,10.847,12.0012
2007-03-26,11.0861,12.0306
2007-03-27,11.8154,12.5234
2007-03-28,13.3613,13.5428
2007-03-29,13.1678,13.5522
2007-03-30,12.9411,13.4295
2007-04-02,12.7764,13.3103
2007-04-03,11.8689,12.6952
2007-04-04,11.5425,12.7444
2007-04-05,11.0785,12.5378
2007-04-09,11.5762,12.5727
2007-04-10,10.9019,12.2631
2007-04-11,11.8611,12.7799
2007-04-12,11.1511,12.2493
2007-04-13,10.6162,11.9934
2007-04-16,10.4355,11.761
2007-04-17,10.3213,11.7008
2007-04-18,10.5403,11.9119
2007-04-19,10.9584,12.0843
2007-04-20,10.2042,11.5989
2007-04-23,11.2264,12.0385
2007-04-24,11.3141,12.0765
2007-04-25,11.3636,11.9624
2007-04-26,11.1609,11.9404
2007-04-27,10.8155,11.8023
2007-04-30,12.4081,12.7992
2007-05-01,11.7038,12.3873
2007-05-02,11.3241,12.1176
2007-05-03,11.333,12.1527
2007-05-04,11.498,12.3341
2007-05-07,11.5219,12.2558
2007-05-08,11.6972,12.3903
2007-05-09,11.2991,12.1025
2007-05-10,12.381,12.9136
2007-05-11,11.617,12.5515
2007-05-14,12.5,13.0509
2007-05-15,12.5609,13.1618
2007-05-16,11.8356,12.7546
2007-05-17,11.7583,12.778
2007-05-18,10.9889,12.3845
2007-05-21,11.3824,12.5542
2007-05-22,11.1554,12.517
2007-05-23,11.4632,12.7038
2007-05-24,12.3079,13.439
2007-05-25,11.4567,12.9315
2007-05-29,11.8789,12.9613
2007-05-30,11.1806,12.5689
2007-05-31,11.2294,12.6155
2007-06-01,11.0968,12.6126
2007-06-04,11.5649,12.8609
2007-06-05,12.2383,13.2441
2007-06-06,13.1352,13.9438
2007-06-07,14.8558,15.1123
2007-06-08,13.2489,13.8354
2007-06-11,13.5771,13.8278
2007-06-12,14.4422,14.6148
2007-06-13,13.1919,13.7648
2007-06-14,13.0223,13.2722
2007-06-15,12.535,13.441
2007-06-18,12.0827,13.3271
2007-06-19,11.5921,13.0204
2007-06-20,13.328,14.2448
2007-06-21,12.9395,14.0566
2007-06-22,14.6476,15.0413
2007-06-25,15.5116,15.3903
2007-06-26,17.0634,16.2227
2007-06-27,14.2531,14.6817
2007-06-28,14.2338,14.6286
2007-06-29,15.0351,15.3126
2007-07-02,14.0727,14.7192
2007-07-03,13.5353,14.5349
2007-07-05,13.808,14.5979
2007-07-06,13.2651,14.3515
2007-07-09,13.6739,14.579
2007-07-10,15.8955,15.9172
2007-07-11,15.1119,15.5557
2007-07-12,13.8988,14.8871
2007-07-13,13.5802,14.955
2007-07-16,14.3515,15.2888
2007-07-17,14.242,15.3668
2007-07-18,14.458,15.6813
2007-07-19,13.6338,15.1919
2007-07-20,15.629,16.3855
2007-07-23,15.1123,16.2211
2007-07-24,17.0886,17.6387
2007-07-25,16.46,17.1204
2007-07-26,18.7148,18.0802
2007-07-27,22.119,20.1624
2007-07-30,19.1017,18.6213
2007-07-31,21.3257,20.709
2007-08-01,20.9765,20.731
2007-08-02,19.1573,19.6655
2007-08-03,23.0753,22.1395
2007-08-06,19.5458,20.0295
2007-08-07,18.9833,19.5965
2007-08-08,18.8189,19.0945
2007-08-09,23.0907,22.4245
2007-08-10,24.1094,23.0068
2007-08-13,22.2653,21.7705
2007-08-14,24.9069,22.9476
2007-08-15,27.3182,24.6435
2007-08-16,29.8527,25.0689
2007-08-17,24.8921,23.8008
2007-08-20,23.0535,22.6432
2007-08-21,22.3079,22.1327
2007-08-22,19.9855,20.3812
2007-08-23,19.5991,20.1988
2007-08-24,17.2124,19.2354
2007-08-27,19.6263,20.3581
2007-08-28,23.3317,23.069
2007-08-29,20.7691,21.3531
2007-08-30,22.0188,21.9113
2007-08-31,20.948,21.049
2007-09-04,19.9936,20.2477
2007-09-05,22.236,21.7136
2007-09-06,21.4119,21.4218
2007-09-07,24.1409,23.2898
2007-09-10,25.116,23.743
2007-09-11,22.9493,22.2547
2007-09-12,22.7505,22.1994
2007-09-13,22.3095,21.8403
2007-09-14,22.1894,21.8481
2007-09-17,23.6345,22.5569
2007-09-18,18.5872,19.1827
2007-09-19,17.7796,18.4815
2007-09-20,18.2122,18.8819
2007-09-21,16.6204,17.9929
2007-09-24,17.0979,18.1385
2007-09-25,16.6725,17.7983
2007-09-26,15.8026,17.1823
2007-09-27,15.3872,16.7121
2007-09-28,16.3024,17.321
2007-10-01,15.8648,17.0662
2007-10-02,16.1416,17.2924
2007-10-03,16.5594,17.8111
2007-10-04,16.3778,17.5317
2007-10-05,15.2357,16.6946
2007-10-08,15.4876,17.0161
2007-10-09,14.6527,16.3198
2007-10-10,15.1133,16.814
2007-10-11,17.2308,17.9693
2007-10-12,16.3023,17.5558
2007-10-15,17.6899,18.6028
2007-10-16,18.2776,19.2282
2007-10-17,16.9213,18.5905
2007-10-18,16.6923,18.3812
2007-10-19,20.7186,20.8638
2007-10-22,19.7542,20.0555
2007-10-23,18.3837,19.165
2007-10-24,19.1459,19.6303
2007-10-25,19.6913,19.8322
2007-10-26,17.9827,18.8376
2007-10-29,18.118,18.8268
2007-10-30,19.3179,19.5398
2007-10-31,16.8155,17.9644
2007-11-01,21.4664,21.0874
2007-11-02,21.1527,21.2456
2007-11-05,22.1125,21.815
2007-11-06,19.6082,20.2791
2007-11-07,24.2062,23.3531
2007-11-08,23.5888,23.3601
2007-11-09,25.8818,24.7894
2007-11-12,26.5245,25.1463
2007-11-13,21.5913,21.9682
2007-11-14,24.3265,23.0109
2007-11-15,26.0634,24.6105
2007-11-16,23.2082,23.5396
2007-11-19,24.4661,24.8393
2007-11-20,23.6407,24.0139
2007-11-21,25.6167,25.2097
2007-11-23,24.6269,23.8986
2007-11-26,27.8283,26.5205
2007-11-27,25.1765,24.6239
2007-11-28,22.8594,22.484
2007-11-29,22.6339,22.7121
2007-11-30,21.7082,22.4515
2007-12-03,22.2411,22.6892
2007-12-04,22.3811,22.9719
2007-12-05,20.9926,21.7446
2007-12-06,19.2992,20.4166
2007-12-07,19.3206,20.6752
2007-12-10,19.2265,20.359
2007-12-11,21.8602,22.4808
2007-12-12,21.031,21.763
2007-12-13,21.0435,21.9711
2007-12-14,21.574,22.4951
2007-12-17,23.3496,23.8595
2007-12-18,21.379,23.0124
2007-12-19,20.2154,22.2318
2007-12-20,19.1461,21.4454
2007-12-21,16.6773,19.8212
2007-12-24,16.6772,19.5244
2007-12-26,16.9593,19.5246
2007-12-27,18.5313,20.795
2007-12-28,18.8895,21.242
2007-12-31,20.6392,22.2307
2008-01-02,21.6681,22.9839
2008-01-03,21.1826,22.2744
2008-01-04,23.0083,23.582
2008-01-07,22.3134,22.9973
2008-01-08,24.295,24.4976
2008-01-09,22.664,23.3227
2008-01-10,22.0536,22.7112
2008-01-11,22.8522,23.4255
2008-01-14,21.6838,22.5657
2008-01-15,22.6468,23.4823
2008-01-16,23.3385,23.4445
2008-01-17,27.1663,25.8618
2008-01-18,25.5268,25.1319
2008-01-22,28.6209,26.0938
2008-01-23,26.8454,25.149
2008-01-24,25.6173,24.5394
2008-01-25,27.1539,25.6555
2008-01-28,25.4325,24.4743
2008-01-29,25.1123,24.0428
2008-01-30,25.2764,24.3809
2008-01-31,23.9415,23.5778
2008-02-01,21.8948,22.5281
2008-02-04,23.7759,23.5792
2008-02-05,26.5136,25.7639
2008-02-06,27.024,26.3595
2008-02-07,25.7743,25.4295
2008-02-08,25.8974,25.5673
2008-02-11,25.2685,25.0147
2008-02-12,24.5637,24.3719
2008-02-13,22.5984,23.3186
2008-02-14,24.0836,23.7989
2008-02-15,23.6301,23.7559
2008-02-19,23.8008,23.7897
2008-02-20,22.4147,22.9006
2008-02-21,23.2368,23.5649
2008-02-22,21.9645,22.6594
2008-02-25,20.9942,22.12
2008-02-26,19.9586,21.3941
2008-02-27,20.7437,22.0613
2008-02-28,21.4684,22.4768
2008-02-29,24.7544,24.7865
2008-03-03,24.3511,24.326
2008-03-04,23.7559,24.1138
2008-03-05,22.8735,23.3856
2008-03-06,25.8693,25.3296
2008-03-07,25.7112,25.4114
2008-03-10,27.7525,26.5908
2008-03-11,24.6978,24.5011
2008-03-12,25.4833,25.4223
2008-03-13,25.3282,25.4002
2008-03-14,29.2492,27.6059
2008-03-17,29.9507,27.5568
