date,iv_1m_put_25d,iv_1m_call_25d,iv_3m_atm_put
2007-04-03,12.59,9.31,12.66
2007-04-04,11.86,8.79,12.68
2007-04-05,11.46,8.69,12.44
2007-04-09,12.14,9.12,12.48
2007-04-10,11.41,8.66,12.14
2007-04-11,12.12,9.0,12.67
2007-04-12,11.05,8.28,12.14
2007-04-13,10.52,7.75,11.84
2007-04-16,11.04,8.66,11.63
2007-04-17,11.6,9.43,11.55
2007-04-18,11.49,9.14,11.77
2007-04-19,12.01,9.1,11.94
2007-04-20,11.93,8.87,11.44
2007-04-23,12.96,9.89,12.03
2007-04-24,13.05,9.79,12.13
2007-04-25,13.07,10.28,11.99
2007-04-26,12.41,9.72,11.97
2007-04-27,11.98,9.2,11.83
2007-04-30,14.7,11.0,12.84
2007-05-01,13.38,10.06,12.41
2007-05-02,12.74,9.83,12.16
2007-05-03,12.67,10.06,12.15
2007-05-04,12.33,9.44,12.34
2007-05-07,12.98,10.03,12.33
2007-05-08,13.43,10.4,12.42
2007-05-09,12.85,10.1,12.15
2007-05-10,13.77,10.8,12.95
2007-05-11,12.47,9.61,12.53
2007-05-14,15.74,12.17,13.12
2007-05-15,15.45,11.39,13.25
2007-05-16,14.4,11.3,12.8
2007-05-17,19.79,11.32,12.81
2007-05-18,12.82,9.39,12.39
2007-05-21,13.4,9.66,12.62
2007-05-22,13.1,9.5,12.54
2007-05-23,13.25,9.92,12.73
2007-05-24,14.25,10.64,13.59
2007-05-25,12.93,9.82,12.98
2007-05-29,13.25,10.02,13.02
2007-05-30,12.43,9.43,12.61
2007-05-31,12.65,9.56,12.65
2007-06-01,11.96,9.28,12.65
2007-06-04,12.92,10.08,12.9
2007-06-05,13.38,10.23,13.3
2007-06-06,15.44,11.84,14.02
2007-06-07,18.72,14.47,15.23
2007-06-08,14.54,11.57,13.93
2007-06-11,16.33,13.13,13.96
2007-06-12,19.47,15.98,14.79
2007-06-13,17.68,14.4,13.88
2007-06-14,17.36,12.06,13.36
2007-06-15,14.8,10.59,13.54
2007-06-18,14.2,10.29,13.42
2007-06-19,13.41,9.91,13.11
2007-06-20,15.47,11.47,14.38
2007-06-21,14.99,11.02,14.18
2007-06-22,16.76,12.26,15.2
2007-06-25,17.75,12.9,15.55
2007-06-26,20.56,15.17,16.4
2007-06-27,16.23,11.93,14.83
2007-06-28,16.13,11.93,14.8
2007-06-29,16.95,12.24,15.47
2007-07-02,15.41,11.34,14.85
2007-07-03,14.29,10.62,14.68
2007-07-05,14.84,11.11,14.71
2007-07-06,13.5,10.2,14.42
2007-07-09,14.61,10.77,14.66
2007-07-10,18.48,13.94,16.06
2007-07-11,17.43,12.63,15.66
2007-07-12,15.37,11.37,14.94
2007-07-13,13.94,10.93,14.98
2007-07-16,16.22,12.42,15.32
2007-07-17,15.66,12.49,15.38
2007-07-18,17.16,13.89,15.69
2007-07-19,17.98,15.9,15.16
2007-07-20,18.29,12.93,16.44
2007-07-23,17.85,12.65,16.27
2007-07-24,19.72,14.6,17.64
2007-07-25,19.49,14.26,17.16
2007-07-26,22.97,17.11,18.09
2007-07-27,27.72,20.82,20.24
2007-07-30,23.45,16.96,18.64
2007-07-31,26.65,19.32,20.74
2007-08-01,25.97,18.62,20.79
2007-08-02,22.45,15.75,19.68
2007-08-03,27.39,19.98,22.29
2007-08-06,24.45,17.84,20.05
2007-08-07,22.81,17.37,19.58
2007-08-08,22.45,17.06,19.09
2007-08-09,31.56,23.43,22.55
2007-08-10,31.33,23.93,23.23
2007-08-13,28.17,23.86,21.88
2007-08-14,29.01,23.89,23.18
2007-08-15,32.13,28.77,24.98
2007-08-16,33.38,31.08,25.02
2007-08-17,31.03,20.34,23.9
2007-08-20,28.48,19.02,22.73
2007-08-21,27.35,18.47,22.18
2007-08-22,24.33,16.7,20.39
2007-08-23,24.3,16.0,20.22
2007-08-24,21.38,14.17,19.27
2007-08-27,24.08,15.93,20.33
2007-08-28,28.07,18.86,23.15
2007-08-29,24.92,17.2,21.31
2007-08-30,26.54,18.36,21.9
2007-08-31,24.94,17.55,21.01
2007-09-04,23.84,16.98,20.21
2007-09-05,25.5,18.44,21.69
