date,csi,z_hhi,z_cr_10,z_entropy_concentration,hhi,cr_10,entropy_concentration
2003-02-28,-0.783591402772054,-0.83419002509933,-0.7132358817413399,-0.803348301475492,0.0096371235795499,0.2390071728327664,0.1412166610762095
2003-03-31,-0.2896958296663398,-0.437238334143598,0.15767232388822958,-0.5895214787436509,0.0099780372872615,0.2474811548929009,0.1436635583430831
2003-04-30,0.05336805164451667,-0.11449801949471246,0.6991288439698078,-0.4245266695415453,0.0102557235870451,0.2527963714079319,0.1455554210253594
2003-05-30,-0.9624412522166419,-0.9564316517294915,-0.932118062323587,-0.9987740425968472,0.0095176064049603,0.2370586542635827,0.1384843400546904
2003-06-30,-0.8322186696190174,-0.7982416602322951,-0.8266522530081674,-0.8717620956165896,0.0096388825578662,0.2378995791448074,0.1397610362352067
2003-07-31,-0.7238022375608196,-0.7990663216888608,-0.4555132856557917,-0.9168271053378063,0.0096249462929334,0.2413536303566532,0.1389927143017296
2003-08-29,-1.0381754262867744,-1.0928934725763517,-0.779382077738838,-1.2422507285451336,0.0093525687962335,0.2381788533126784,0.134727073991409
2003-09-30,-0.5659264250040249,-0.6289958533431697,-0.09501349707078154,-0.9737699245981236,0.0097373777618264,0.2445603182880662,0.1376449032879482
2003-10-31,-1.0730940783348322,-1.1401208616948755,-0.8327360297419711,-1.2464253435676496,0.0092821148105927,0.237603726199816,0.1339920322666093
2003-11-28,-1.3111013010508143,-1.3513484833579963,-1.1613882084603613,-1.4205672113340857,0.0090674318238147,0.2343006513545626,0.1313440851271818
2003-12-31,-1.4458016805755811,-1.458763630837731,-1.451548060456507,-1.4270933504325058,0.0089327799574827,0.2311588124472191,0.1306899190465392
2004-01-30,-1.3103856281734327,-1.3456395178948475,-1.196300759057039,-1.389216607568412,0.0089954574391445,0.2332581185111598,0.1306176081695924
2004-02-27,-1.511331122060245,-1.498120717246435,-1.5563835360574627,-1.4794891128768377,0.0088175118742956,0.2293380136662505,0.1288900685385718
2004-03-31,-1.6452098251269895,-1.5941828643759606,-1.7596978443905806,-1.5817487666144272,0.0086804453810707,0.2266687750195713,0.1268925401382936
2004-04-30,-1.3850824644713409,-1.272492790071796,-1.5598932865939261,-1.3228613167482999,0.0089395086335415,0.2280868430814532,0.1297109746353413
2004-05-28,-1.29065288634182,-1.272913738609051,-1.2672986109012738,-1.3317463095151354,0.008909409595637,0.2306666459855618,0.1291310065752412
2004-06-30,-1.3956531187837458,-1.3125085778392929,-1.4641132687716363,-1.410337509740308,0.0088418632400515,0.2282538703599762,0.1275900035829829
2004-07-30,-1.1200534611853536,-1.0384680670665318,-1.1370465585301976,-1.184645757959331,0.0090746983316422,0.2313086582479637,0.1301776322130208
2004-08-31,-1.1277704901555403,-1.0482585979747638,-1.1992066359781646,-1.1358462365136932,0.0090471298627944,0.2304047986419034,0.1305013632034336
2004-09-30,-1.3944532912307004,-1.2644487748232967,-1.5486480714723634,-1.3702630273964411,0.0088208558694184,0.2263548935051879,0.1269553579251123
2004-10-29,-1.4208980437798309,-1.2746056590495969,-1.5976912013694822,-1.390397270920414,0.0087837406054953,0.2253162366141083,0.1262033702676523
2004-11-30,-1.7139399799854578,-1.5231133904878527,-2.048317920669961,-1.5703886287985591,0.008510736074126,0.219581570135471,0.1231555248911686
2004-12-31,-1.8542482484374474,-1.6574598924267607,-2.244189727347688,-1.6610951255378938,0.0083327355530856,0.2161391986408067,0.1211858102870875
