date,csi,rolling_p33,rolling_p67,regime
2018-05-31,-0.0529783138317123,-1.4277572476036429,-1.0612541400433415,high
2018-06-29,-0.0157016789345106,-1.4277572476036429,-1.04782565526973,high
2018-07-31,0.0331654258507983,-1.4277572476036429,-1.0131295271727434,high
2018-08-31,0.4027433742587318,-1.4277572476036429,-0.9864454321765648,high
2018-09-28,0.3526105045106215,-1.4193488495108506,-0.9742455049876777,high
2018-10-31,0.2949847589277384,-1.3984168153311156,-0.9228626388374841,high
2018-11-30,0.0564100241247458,-1.3984168153311156,-0.8663671785553196,high
2018-12-31,0.0688593658528882,-1.35810828033703,-0.8441460281178339,high
2019-01-31,-0.0081960452720744,-1.323066910377931,-0.8027518408943731,high
2019-02-28,-0.0784270407178859,-1.2685655339246686,-0.7584621015043749,high
2019-03-29,0.2073134888140526,-1.2149283205145587,-0.7393599941617286,high
2019-04-30,0.3807365709871819,-1.1931812501752856,-0.6398706359306854,high
2019-05-31,0.2908445959947431,-1.1750917319961012,-0.5282104604508235,high
2019-06-28,0.3093129028751626,-1.1607321857962116,-0.4958186198714487,high
2019-07-31,0.3613310624633999,-1.1477705877463458,-0.455690528212583,high
2019-08-30,0.400146360784343,-1.1392475982314174,-0.40539378395928455,high
2019-09-30,0.3454789335223099,-1.132921236978609,-0.37596249614999483,high
2019-10-31,0.5537283792882665,-1.1258457953633294,-0.32723470194167353,high
2019-11-29,0.6446063593786882,-1.1131681442521049,-0.2203212348544631,high
2019-12-31,0.7499762015271348,-1.0847278222889483,-0.1144883860973964,high
2020-01-31,1.1732845272186485,-1.061917287704783,-0.06493921546821387,high
2020-02-28,1.238499141038255,-1.0487577867518794,-0.03322169733619536,high
2020-03-31,2.0928064605999235,-1.0162307835674773,-0.011723693093419406,high
2020-04-30,2.3683188398706743,-0.9867161023543869,0.013725534423048174,high
2020-05-29,2.2301370140956323,-0.975386600549483,0.0454850629359905,high
2020-06-30,2.7960938023898323,-0.9276676521487351,0.06300817524066128,high
2020-07-31,3.093603320246641,-0.8685018414999268,0.14224005102230547,high
2020-08-31,3.672529068090392,-0.8447686270655391,0.25158497561981863,high
2020-09-30,3.019197724391375,-0.806885859249064,0.2930388823492306,high
2020-10-30,2.82279494506161,-0.7598100179887054,0.30257867521987325,high
2020-11-30,2.40189847045504,-0.7403271747144143,0.3284808991181507,high
2020-12-31,2.42935371868627,-0.6502758937308744,0.34925866614611506,high
2021-01-29,2.670570079422479,-0.5316239309464891,0.35723240022559405,high
